Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
BAOsP1COp00103,E19,BAOsPCR3p00060,A1,1800
BAOsP1COp00103,F20,BAOsPCR3p00060,A2,1800
BAOsP1COp00103,E21,BAOsPCR3p00060,A3,1800
BAOsP1COp00103,F22,BAOsPCR3p00060,A4,1800
BAOsP1COp00103,E7,BAOsPCR3p00060,A5,1800
BAOsP1COp00103,F8,BAOsPCR3p00060,A6,1800
BAOsP1COp00103,E9,BAOsPCR3p00060,A7,1800
BAOsP1COp00103,F10,BAOsPCR3p00060,A8,1800
BAOsP1COp00103,E11,BAOsPCR3p00060,A9,1800
BAOsP1COp00103,F12,BAOsPCR3p00060,A10,1800
BAOsP1COp00103,E15,BAOsPCR3p00060,A11,1800
BAOsP1COp00103,E16,BAOsPCR3p00060,A12,1800
BAOsP1COp00103,E17,BAOsPCR3p00060,B1,1800
BAOsP1COp00103,F18,BAOsPCR3p00060,B2,1800
BAOsP1COp00103,G1,BAOsPCR3p00060,B3,1800
BAOsP1COp00103,H2,BAOsPCR3p00060,B4,1800
BAOsP1COp00103,G19,BAOsPCR3p00060,B5,1800
BAOsP1COp00103,H20,BAOsPCR3p00060,B6,1800
BAOsP1COp00103,G21,BAOsPCR3p00060,B7,1800
BAOsP1COp00103,H22,BAOsPCR3p00060,B8,1800
BAOsP1COp00103,G5,BAOsPCR3p00060,B9,1800
BAOsP1COp00103,H6,BAOsPCR3p00060,B10,1800
BAOsP1COp00103,G11,BAOsPCR3p00060,B11,1800
BAOsP1COp00103,G12,BAOsPCR3p00060,B12,1800
BAOsP1COp00103,G13,BAOsPCR3p00060,C1,1800
BAOsP1COp00103,H14,BAOsPCR3p00060,C2,1800
BAOsP1COp00103,G15,BAOsPCR3p00060,C3,1800
BAOsP1COp00103,G16,BAOsPCR3p00060,C4,1800
BAOsP1COp00103,G17,BAOsPCR3p00060,C5,1800
BAOsP1COp00103,G18,BAOsPCR3p00060,C6,1800
BAOsP1COp00103,I1,BAOsPCR3p00060,C7,1800
BAOsP1COp00103,J2,BAOsPCR3p00060,C8,1800
BAOsP1COp00103,I19,BAOsPCR3p00060,C9,1800
BAOsP1COp00103,I20,BAOsPCR3p00060,C10,1800
BAOsP1COp00103,I21,BAOsPCR3p00060,C11,1800
BAOsP1COp00103,J22,BAOsPCR3p00060,C12,1800
BAOsP1COp00103,I22,BAOsPCR3p00060,D1,1800
BAOsP1COp00103,I5,BAOsPCR3p00060,D2,1800
BAOsP1COp00103,J6,BAOsPCR3p00060,D3,1800
BAOsP1COp00103,I7,BAOsPCR3p00060,D4,1800
BAOsP1COp00103,J8,BAOsPCR3p00060,D5,1800
BAOsP1COp00103,I9,BAOsPCR3p00060,D6,1800
BAOsP1COp00103,I10,BAOsPCR3p00060,D7,1800
BAOsP1COp00103,I15,BAOsPCR3p00060,D8,1800
BAOsP1COp00103,J16,BAOsPCR3p00060,D9,1800
BAOsP1COp00103,K1,BAOsPCR3p00060,D10,1800
BAOsP1COp00103,L2,BAOsPCR3p00060,D11,1800
BAOsP1COp00103,K19,BAOsPCR3p00060,D12,1800
BAOsP1COp00103,L20,BAOsPCR3p00060,E1,1800
BAOsP1COp00103,K23,BAOsPCR3p00060,E2,1800
BAOsP1COp00103,K24,BAOsPCR3p00060,E3,1800
BAOsP1COp00103,K3,BAOsPCR3p00060,E4,1800
BAOsP1COp00103,L4,BAOsPCR3p00060,E5,1800
BAOsP1COp00103,K5,BAOsPCR3p00060,E6,1800
BAOsP1COp00103,K6,BAOsPCR3p00060,E7,1800
BAOsP1COp00103,K9,BAOsPCR3p00060,E8,1800
BAOsP1COp00103,L10,BAOsPCR3p00060,E9,1800
BAOsP1COp00103,K11,BAOsPCR3p00060,E10,1800
BAOsP1COp00103,L12,BAOsPCR3p00060,E11,1800
BAOsP1COp00103,K17,BAOsPCR3p00060,E12,1800
BAOsP1COp00103,L18,BAOsPCR3p00060,F1,1800
BAOsP1COp00103,M1,BAOsPCR3p00060,F2,1800
BAOsP1COp00103,M2,BAOsPCR3p00060,F3,1800
BAOsP1COp00103,M19,BAOsPCR3p00060,F4,1800
BAOsP1COp00103,N20,BAOsPCR3p00060,F5,1800
BAOsP1COp00103,M21,BAOsPCR3p00060,F6,1800
BAOsP1COp00103,M22,BAOsPCR3p00060,F7,1800
BAOsP1COp00103,M3,BAOsPCR3p00060,F8,1800
BAOsP1COp00103,M4,BAOsPCR3p00060,F9,1800
BAOsP1COp00103,M13,BAOsPCR3p00060,F10,1800
BAOsP1COp00103,N14,BAOsPCR3p00060,F11,1800
BAOsP1COp00103,M15,BAOsPCR3p00060,F12,1800
BAOsP1COp00103,N16,BAOsPCR3p00060,G1,1800
BAOsP1COp00103,M17,BAOsPCR3p00060,G2,1800
BAOsP1COp00103,M18,BAOsPCR3p00060,G3,1800
BAOsP1COp00103,O1,BAOsPCR3p00060,G4,1800
BAOsP1COp00103,O2,BAOsPCR3p00060,G5,1800
BAOsP1COp00103,O19,BAOsPCR3p00060,G6,1800
BAOsP1COp00103,O20,BAOsPCR3p00060,G7,1800
BAOsP1COp00103,O21,BAOsPCR3p00060,G8,1800
BAOsP1COp00103,O22,BAOsPCR3p00060,G9,1800
BAOsP1COp00103,O23,BAOsPCR3p00060,G10,1800
BAOsP1COp00103,P24,BAOsPCR3p00060,G11,1800
BAOsP1COp00103,O3,BAOsPCR3p00060,G12,1800
BAOsP1COp00103,P4,BAOsPCR3p00060,H1,1800
BAOsP1COp00103,O5,BAOsPCR3p00060,H2,1800
BAOsP1COp00103,P6,BAOsPCR3p00060,H3,1800
BAOsP1COp00103,O11,BAOsPCR3p00060,H4,1800
BAOsP1COp00103,O12,BAOsPCR3p00060,H5,1800
BAOsP1COp00104,A5,BAOsPCR3p00060,H6,1800
BAOsP1COp00104,B6,BAOsPCR3p00060,H7,1800
BAOsP1COp00104,A13,BAOsPCR3p00060,H8,1800
BAOsP1COp00104,B14,BAOsPCR3p00060,H9,1800
BAOsP1COp00104,C1,BAOsPCR3p00060,H10,1800
BAOsP1COp00104,D2,BAOsPCR3p00060,H11,1800
BAOsP1COp00104,C5,BAOsPCR3p00060,H12,1800
