Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Region
BAOsQT48p00113,A1,12.7443,38.9039,BAOsCUL1p00109,A1
BAOsQT48p00113,A2,37.1854,38.9953,BAOsCUL1p00109,B1
BAOsQT48p00113,A3,76.3108,38.8317,BAOsCUL1p00109,C1
BAOsQT48p00113,A4,97.6234,39.4156,BAOsCUL1p00109,D1
BAOsQT48p00113,B1,25.8678,73.0229,BAOsCUL1p00109,E1
BAOsQT48p00113,B2,47.8034,72.7348,BAOsCUL1p00109,F1
BAOsQT48p00113,B3,74.9706,72.9585,BAOsCUL1p00109,G1
BAOsQT48p00113,B4,99.2236,72.9442,BAOsCUL1p00109,H1
BAOsQT48p00113,C1,24.5947,106.161,BAOsCUL1p00109,A2
BAOsQT48p00113,C2,43.3931,105.621,BAOsCUL1p00109,B2
BAOsQT48p00113,C3,65.2004,106.205,BAOsCUL1p00109,C2
BAOsQT48p00113,C4,99.0792,106.497,BAOsCUL1p00109,D2
BAOsQT48p00113,D1,24.169,140.137,BAOsCUL1p00109,E2
BAOsQT48p00113,D2,40.536,140.028,BAOsCUL1p00109,F2
BAOsQT48p00113,D3,74.8865,139.347,BAOsCUL1p00109,G2
BAOsQT48p00113,D4,108.985,140.146,BAOsCUL1p00109,H2
BAOsQT48p00113,E1,19.8308,172.065,BAOsCUL1p00109,A3
BAOsQT48p00113,E2,42.7036,173.09,BAOsCUL1p00109,B3
BAOsQT48p00113,E3,74.3854,173.51,BAOsCUL1p00109,C3
BAOsQT48p00113,E4,92.3721,173.371,BAOsCUL1p00109,D3
BAOsQT48p00113,F1,18.0695,206.994,BAOsCUL1p00109,E3
BAOsQT48p00113,F2,45.5688,205.145,BAOsCUL1p00109,F3
BAOsQT48p00113,F3,68.354,203.235,BAOsCUL1p00109,G3
BAOsQT48p00113,F4,97.8641,202.876,BAOsCUL1p00109,H3
BAOsQT48p00113,A5,122.842,39.0064,BAOsCUL1p00109,A4
BAOsQT48p00113,A6,149.224,39.0216,BAOsCUL1p00109,B4
BAOsQT48p00113,A7,180.839,38.5318,BAOsCUL1p00109,C4
BAOsQT48p00113,A8,209.032,39.5254,BAOsCUL1p00109,D4
BAOsQT48p00113,B5,133.405,73.1799,BAOsCUL1p00109,E4
BAOsQT48p00113,B6,163.37,73.2164,BAOsCUL1p00109,F4
BAOsQT48p00113,B7,191.788,72.9644,BAOsCUL1p00109,G4
BAOsQT48p00113,B8,214.018,73.6127,BAOsCUL1p00109,H4
BAOsQT48p00113,C5,137.278,106.142,BAOsCUL1p00109,A5
BAOsQT48p00113,C6,165.655,105.721,BAOsCUL1p00109,B5
BAOsQT48p00113,C7,176.089,106.527,BAOsCUL1p00109,C5
BAOsQT48p00113,C8,215.592,106.495,BAOsCUL1p00109,D5
BAOsQT48p00113,D5,124.648,140.252,BAOsCUL1p00109,E5
BAOsQT48p00113,D6,147.474,139.905,BAOsCUL1p00109,F5
BAOsQT48p00113,D7,191.791,140.276,BAOsCUL1p00109,G5
BAOsQT48p00113,D8,218.141,139.731,BAOsCUL1p00109,H5
BAOsQT48p00113,E5,137.259,173.415,BAOsCUL1p00109,A6
BAOsQT48p00113,E6,153.045,173.309,BAOsCUL1p00109,B6
BAOsQT48p00113,E7,180.427,173.286,BAOsCUL1p00109,C6
BAOsQT48p00113,E8,206.035,173.821,BAOsCUL1p00109,D6
BAOsQT48p00113,F5,129.499,201.317,BAOsCUL1p00109,E6
BAOsQT48p00113,F6,156.947,202.679,BAOsCUL1p00109,F6
BAOsQT48p00113,F7,180.711,201.322,BAOsCUL1p00109,G6
BAOsQT48p00113,F8,209.088,204.705,BAOsCUL1p00109,H6
BAOsQT48p00114,A1,13.1098,38.1466,BAOsCUL1p00109,A7
BAOsQT48p00114,A2,44.9058,38.1124,BAOsCUL1p00109,B7
BAOsQT48p00114,A3,71.0505,39.5037,BAOsCUL1p00109,C7
BAOsQT48p00114,A4,95.1278,38.9601,BAOsCUL1p00109,D7
BAOsQT48p00114,B1,22.7423,73.2044,BAOsCUL1p00109,E7
BAOsQT48p00114,B2,41.8332,73.0925,BAOsCUL1p00109,F7
BAOsQT48p00114,B3,72.9713,72.9326,BAOsCUL1p00109,G7
BAOsQT48p00114,B4,94.9321,72.8875,BAOsCUL1p00109,H7
BAOsQT48p00114,C1,25.2106,106.076,BAOsCUL1p00109,A8
BAOsQT48p00114,C2,43.538,105.644,BAOsCUL1p00109,B8
BAOsQT48p00114,C3,74.145,106.164,BAOsCUL1p00109,C8
BAOsQT48p00114,C4,99.678,106.279,BAOsCUL1p00109,D8
BAOsQT48p00114,D1,16.5827,139.656,BAOsCUL1p00109,E8
BAOsQT48p00114,D2,45.0739,139.754,BAOsCUL1p00109,F8
BAOsQT48p00114,D3,80.7629,140.254,BAOsCUL1p00109,G8
BAOsQT48p00114,D4,95.0615,140.238,BAOsCUL1p00109,H8
BAOsQT48p00114,E1,20.9179,172.676,BAOsCUL1p00109,A9
BAOsQT48p00114,E2,46.9098,173.529,BAOsCUL1p00109,B9
BAOsQT48p00114,E3,76.7023,173.397,BAOsCUL1p00109,C9
BAOsQT48p00114,E4,92.6244,173.346,BAOsCUL1p00109,D9
BAOsQT48p00114,F1,18.6709,207.271,BAOsCUL1p00109,E9
BAOsQT48p00114,F2,37.9422,206.2,BAOsCUL1p00109,F9
BAOsQT48p00114,F3,82.6112,205.308,BAOsCUL1p00109,G9
BAOsQT48p00114,F4,106.738,207.382,BAOsCUL1p00109,H9
BAOsQT48p00114,A5,128.076,39.1823,BAOsCUL1p00109,A10
BAOsQT48p00114,A6,160.202,39.2225,BAOsCUL1p00109,B10
BAOsQT48p00114,A7,176.817,38.8459,BAOsCUL1p00109,C10
BAOsQT48p00114,A8,206.894,39.2823,BAOsCUL1p00109,D10
BAOsQT48p00114,B5,136.98,73.0491,BAOsCUL1p00109,E10
BAOsQT48p00114,B6,163.173,72.822,BAOsCUL1p00109,F10
BAOsQT48p00114,B7,182.335,69.7513,BAOsCUL1p00109,G10
BAOsQT48p00114,B8,218.354,73.2825,BAOsCUL1p00109,H10
BAOsQT48p00114,C5,133.928,106.475,BAOsCUL1p00109,A11
BAOsQT48p00114,C6,166.176,105.199,BAOsCUL1p00109,B11
BAOsQT48p00114,C7,191.768,106.299,BAOsCUL1p00109,C11
BAOsQT48p00114,C8,208.73,106.344,BAOsCUL1p00109,D11
BAOsQT48p00114,D5,122.596,140.289,BAOsCUL1p00109,E11
BAOsQT48p00114,D6,158.172,140.183,BAOsCUL1p00109,F11
BAOsQT48p00114,D7,181.085,139.957,BAOsCUL1p00109,G11
BAOsQT48p00114,D8,207.939,139.782,BAOsCUL1p00109,H11
BAOsQT48p00114,E5,136.249,173.617,BAOsCUL1p00109,A12
BAOsQT48p00114,E6,164.908,173.127,BAOsCUL1p00109,B12
BAOsQT48p00114,E7,188.03,173.378,BAOsCUL1p00109,C12
BAOsQT48p00114,E8,212.552,171.156,BAOsCUL1p00109,D12
BAOsQT48p00114,F5,133.345,206.337,BAOsCUL1p00109,E12
BAOsQT48p00114,F6,157.279,207.175,BAOsCUL1p00109,F12
BAOsQT48p00114,F7,187.369,207.268,BAOsCUL1p00109,G12
BAOsQT48p00114,F8,218.269,206.661,BAOsCUL1p00109,H12
